"","variable","n_miss","pct_miss"
"1","cost_of_calorie_sufficient_diet_2017_usd_per_day",51,26.4248704663212
"2","cost_of_nutrient_adequate_diet_2017_usd_per_day",51,26.4248704663212
"3","cost_of_healthy_diet_2017_usd_per_day",51,26.4248704663212
"4","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line",51,26.4248704663212
"5","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line",51,26.4248704663212
"6","healthy_diet_cost_percent_of_1_20_poverty_line",51,26.4248704663212
"7","calorie_sufficient_diet_cost_percent_of_average_food_expenditure",51,26.4248704663212
"8","nutrient_adequate_diet_cost_percent_of_average_food_expenditure",51,26.4248704663212
"9","healthy_diet_cost_percent_of_average_food_expenditure",51,26.4248704663212
"10","calorie_sufficient_diet_cost_percent_cannot_afford",51,26.4248704663212
"11","nutrient_adequate_diet_cost_percent_cannot_afford",51,26.4248704663212
"12","healthy_diet_cost_percent_cannot_afford",51,26.4248704663212
"13","calorie_sufficient_diet_cost_number_cannot_afford",51,26.4248704663212
"14","nutrient_adequate_diet_cost_number_cannot_afford",51,26.4248704663212
"15","healthy_diet_cost_number_cannot_afford",51,26.4248704663212
"16","total_confirmed_deaths_due_to_covid_19_per_million_people",26,13.4715025906736
"17","population_with_access_to_improved_sanitation_y",6,3.10880829015544
"18","population_without_access_to_improved_sanitation_y",6,3.10880829015544
"19","entity",0,0
