Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,38041757
"Population, total",SP.POP.TOTL,Albania,ALB,2854191
"Population, total",SP.POP.TOTL,Algeria,DZA,43053054
"Population, total",SP.POP.TOTL,American Samoa,ASM,55312
"Population, total",SP.POP.TOTL,Andorra,AND,77146
"Population, total",SP.POP.TOTL,Angola,AGO,31825299
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,97115
"Population, total",SP.POP.TOTL,Argentina,ARG,44938712
"Population, total",SP.POP.TOTL,Armenia,ARM,2957728
"Population, total",SP.POP.TOTL,Aruba,ABW,106310
"Population, total",SP.POP.TOTL,Australia,AUS,25365745
"Population, total",SP.POP.TOTL,Austria,AUT,8879920
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,10024283
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,389486
"Population, total",SP.POP.TOTL,Bahrain,BHR,1641164
"Population, total",SP.POP.TOTL,Bangladesh,BGD,163046173
"Population, total",SP.POP.TOTL,Barbados,BRB,287021
"Population, total",SP.POP.TOTL,Belarus,BLR,9417849
"Population, total",SP.POP.TOTL,Belgium,BEL,11488980
"Population, total",SP.POP.TOTL,Belize,BLZ,390351
"Population, total",SP.POP.TOTL,Benin,BEN,11801151
"Population, total",SP.POP.TOTL,Bermuda,BMU,63913
"Population, total",SP.POP.TOTL,Bhutan,BTN,763094
"Population, total",SP.POP.TOTL,Bolivia,BOL,11513102
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3300998
"Population, total",SP.POP.TOTL,Botswana,BWA,2303703
"Population, total",SP.POP.TOTL,Brazil,BRA,211049519
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,30033
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,433296
"Population, total",SP.POP.TOTL,Bulgaria,BGR,6975761
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,20321383
"Population, total",SP.POP.TOTL,Burundi,BDI,11530577
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,549936
"Population, total",SP.POP.TOTL,Cambodia,KHM,16486542
"Population, total",SP.POP.TOTL,Cameroon,CMR,25876387
"Population, total",SP.POP.TOTL,Canada,CAN,37593384
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,64948
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4745179
"Population, total",SP.POP.TOTL,Chad,TCD,15946882
"Population, total",SP.POP.TOTL,Channel Islands,CHI,172264
"Population, total",SP.POP.TOTL,Chile,CHL,18952035
"Population, total",SP.POP.TOTL,China,CHN,1397715000
"Population, total",SP.POP.TOTL,Colombia,COL,50339443
"Population, total",SP.POP.TOTL,Comoros,COM,850891
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,86790568
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5380504
"Population, total",SP.POP.TOTL,Costa Rica,CRI,5047561
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,25716554
"Population, total",SP.POP.TOTL,Croatia,HRV,4065253
"Population, total",SP.POP.TOTL,Cuba,CUB,11333484
"Population, total",SP.POP.TOTL,Curacao,CUW,157441
"Population, total",SP.POP.TOTL,Cyprus,CYP,1198574
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10671870
"Population, total",SP.POP.TOTL,Denmark,DNK,5814422
"Population, total",SP.POP.TOTL,Djibouti,DJI,973557
"Population, total",SP.POP.TOTL,Dominica,DMA,71808
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10738957
"Population, total",SP.POP.TOTL,Ecuador,ECU,17373657
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,100388076
"Population, total",SP.POP.TOTL,El Salvador,SLV,6453550
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1355982
"Population, total",SP.POP.TOTL,Eritrea,ERI,..
"Population, total",SP.POP.TOTL,Estonia,EST,1326898
"Population, total",SP.POP.TOTL,Ethiopia,ETH,112078727
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48677
"Population, total",SP.POP.TOTL,Fiji,FJI,889955
"Population, total",SP.POP.TOTL,Finland,FIN,5521606
"Population, total",SP.POP.TOTL,France,FRA,67248926
"Population, total",SP.POP.TOTL,French Polynesia,PYF,279285
"Population, total",SP.POP.TOTL,Gabon,GAB,2172578
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2347696
"Population, total",SP.POP.TOTL,Georgia,GEO,3720161
"Population, total",SP.POP.TOTL,Germany,DEU,83092962
"Population, total",SP.POP.TOTL,Ghana,GHA,30417858
"Population, total",SP.POP.TOTL,Gibraltar,GIB,33706
"Population, total",SP.POP.TOTL,Greece,GRC,10721582
"Population, total",SP.POP.TOTL,Greenland,GRL,56225
"Population, total",SP.POP.TOTL,Grenada,GRD,112002
"Population, total",SP.POP.TOTL,Guam,GUM,167295
"Population, total",SP.POP.TOTL,Guatemala,GTM,16604026
"Population, total",SP.POP.TOTL,Guinea,GIN,12771246
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1920917
"Population, total",SP.POP.TOTL,Guyana,GUY,782775
"Population, total",SP.POP.TOTL,Haiti,HTI,11263079
"Population, total",SP.POP.TOTL,Honduras,HND,9746115
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7507400
"Population, total",SP.POP.TOTL,Hungary,HUN,9771141
"Population, total",SP.POP.TOTL,Iceland,ISL,360563
"Population, total",SP.POP.TOTL,India,IND,1366417756
"Population, total",SP.POP.TOTL,Indonesia,IDN,270625567
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,82913893
"Population, total",SP.POP.TOTL,Iraq,IRQ,39309789
"Population, total",SP.POP.TOTL,Ireland,IRL,4934340
"Population, total",SP.POP.TOTL,Isle of Man,IMN,84589
"Population, total",SP.POP.TOTL,Israel,ISR,9054000
"Population, total",SP.POP.TOTL,Italy,ITA,59729081
"Population, total",SP.POP.TOTL,Jamaica,JAM,2948277
"Population, total",SP.POP.TOTL,Japan,JPN,126264931
"Population, total",SP.POP.TOTL,Jordan,JOR,10101697
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,18513673
"Population, total",SP.POP.TOTL,Kenya,KEN,52573967
"Population, total",SP.POP.TOTL,Kiribati,KIR,117608
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25666158
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51709098
"Population, total",SP.POP.TOTL,Kosovo,XKX,1788878
"Population, total",SP.POP.TOTL,Kuwait,KWT,4207077
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6456200
"Population, total",SP.POP.TOTL,Lao PDR,LAO,7169456
"Population, total",SP.POP.TOTL,Latvia,LVA,1913822
"Population, total",SP.POP.TOTL,Lebanon,LBN,6855709
"Population, total",SP.POP.TOTL,Lesotho,LSO,2125267
"Population, total",SP.POP.TOTL,Liberia,LBR,4937374
"Population, total",SP.POP.TOTL,Libya,LBY,6777453
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,38020
"Population, total",SP.POP.TOTL,Lithuania,LTU,2794137
"Population, total",SP.POP.TOTL,Luxembourg,LUX,620001
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,640446
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2083458
"Population, total",SP.POP.TOTL,Madagascar,MDG,26969306
"Population, total",SP.POP.TOTL,Malawi,MWI,18628749
"Population, total",SP.POP.TOTL,Malaysia,MYS,31949789
"Population, total",SP.POP.TOTL,Maldives,MDV,530957
"Population, total",SP.POP.TOTL,Mali,MLI,19658023
"Population, total",SP.POP.TOTL,Malta,MLT,504062
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,58791
"Population, total",SP.POP.TOTL,Mauritania,MRT,4525698
"Population, total",SP.POP.TOTL,Mauritius,MUS,1265711
"Population, total",SP.POP.TOTL,Mexico,MEX,127575529
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,113811
"Population, total",SP.POP.TOTL,Moldova,MDA,2663251
"Population, total",SP.POP.TOTL,Monaco,MCO,38967
"Population, total",SP.POP.TOTL,Mongolia,MNG,3225166
"Population, total",SP.POP.TOTL,Montenegro,MNE,622028
"Population, total",SP.POP.TOTL,Morocco,MAR,36471766
"Population, total",SP.POP.TOTL,Mozambique,MOZ,30366043
"Population, total",SP.POP.TOTL,Myanmar,MMR,54045422
"Population, total",SP.POP.TOTL,Namibia,NAM,2494524
"Population, total",SP.POP.TOTL,Nauru,NRU,10764
"Population, total",SP.POP.TOTL,Nepal,NPL,28608715
"Population, total",SP.POP.TOTL,Netherlands,NLD,17344874
"Population, total",SP.POP.TOTL,New Caledonia,NCL,271300
"Population, total",SP.POP.TOTL,New Zealand,NZL,4979300
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6545503
"Population, total",SP.POP.TOTL,Niger,NER,23310719
"Population, total",SP.POP.TOTL,Nigeria,NGA,200963603
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,57213
"Population, total",SP.POP.TOTL,Norway,NOR,5347896
"Population, total",SP.POP.TOTL,Oman,OMN,4974992
"Population, total",SP.POP.TOTL,Pakistan,PAK,216565317
"Population, total",SP.POP.TOTL,Palau,PLW,18001
"Population, total",SP.POP.TOTL,Panama,PAN,4246440
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8776119
"Population, total",SP.POP.TOTL,Paraguay,PRY,7044639
"Population, total",SP.POP.TOTL,Peru,PER,32510462
"Population, total",SP.POP.TOTL,Philippines,PHL,108116622
"Population, total",SP.POP.TOTL,Poland,POL,37965475
"Population, total",SP.POP.TOTL,Portugal,PRT,10286263
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3193694
"Population, total",SP.POP.TOTL,Qatar,QAT,2832071
"Population, total",SP.POP.TOTL,Romania,ROU,19371648
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144406261
"Population, total",SP.POP.TOTL,Rwanda,RWA,12626938
"Population, total",SP.POP.TOTL,Samoa,WSM,197093
"Population, total",SP.POP.TOTL,San Marino,SMR,33864
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,215048
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,34268529
"Population, total",SP.POP.TOTL,Senegal,SEN,16296362
"Population, total",SP.POP.TOTL,Serbia,SRB,6945235
"Population, total",SP.POP.TOTL,Seychelles,SYC,97625
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7813207
"Population, total",SP.POP.TOTL,Singapore,SGP,5703569
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,40733
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5454147
"Population, total",SP.POP.TOTL,Slovenia,SVN,2088385
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,669821
"Population, total",SP.POP.TOTL,Somalia,SOM,15442906
"Population, total",SP.POP.TOTL,South Africa,ZAF,58558267
"Population, total",SP.POP.TOTL,South Sudan,SSD,11062114
"Population, total",SP.POP.TOTL,Spain,ESP,47133521
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,21803000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,52834
"Population, total",SP.POP.TOTL,St. Lucia,LCA,182795
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,38002
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,110593
"Population, total",SP.POP.TOTL,Sudan,SDN,42813237
"Population, total",SP.POP.TOTL,Suriname,SUR,581363
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1148133
"Population, total",SP.POP.TOTL,Sweden,SWE,10278887
"Population, total",SP.POP.TOTL,Switzerland,CHE,8575280
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,17070132
"Population, total",SP.POP.TOTL,Tajikistan,TJK,9321023
"Population, total",SP.POP.TOTL,Tanzania,TZA,58005461
"Population, total",SP.POP.TOTL,Thailand,THA,69625581
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1293120
"Population, total",SP.POP.TOTL,Togo,TGO,8082359
"Population, total",SP.POP.TOTL,Tonga,TON,104497
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1394969
"Population, total",SP.POP.TOTL,Tunisia,TUN,11694721
"Population, total",SP.POP.TOTL,Turkey,TUR,83429607
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5942094
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,38194
"Population, total",SP.POP.TOTL,Tuvalu,TUV,11655
"Population, total",SP.POP.TOTL,Uganda,UGA,44269587
"Population, total",SP.POP.TOTL,Ukraine,UKR,44386203
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,9770526
"Population, total",SP.POP.TOTL,United Kingdom,GBR,66836327
"Population, total",SP.POP.TOTL,United States,USA,328329953
"Population, total",SP.POP.TOTL,Uruguay,URY,3461731
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,33580350
"Population, total",SP.POP.TOTL,Vanuatu,VUT,299882
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,28515829
"Population, total",SP.POP.TOTL,Vietnam,VNM,96462108
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,106669
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4685306
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,29161922
"Population, total",SP.POP.TOTL,Zambia,ZMB,17861034
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,14645473
"Population, total",SP.POP.TOTL,Africa Eastern and Southern,AFE,660046272
"Population, total",SP.POP.TOTL,Africa Western and Central,AFW,446911598
"Population, total",SP.POP.TOTL,Arab World,ARB,427870273
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,7401389
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,102398537
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,3290291029
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,2340673749
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,2093675075
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,2067982370
"Population, total",SP.POP.TOTL,Euro area,EMU,342282081
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,920809471
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,418760880
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,460791608
"Population, total",SP.POP.TOTL,European Union,EUU,447196538
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,908739462
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,801708019
"Population, total",SP.POP.TOTL,High income,HIC,1210795776
"Population, total",SP.POP.TOTL,IBRD only,IBD,4816232592
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,6486925157
"Population, total",SP.POP.TOTL,IDA blend,IDB,561571929
"Population, total",SP.POP.TOTL,IDA only,IDX,1109120636
"Population, total",SP.POP.TOTL,IDA total,IDA,1670692565
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,2298495924
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,646430786
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,589503742
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,630644771
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,1033388868
"Population, total",SP.POP.TOTL,Low & middle income,LMY,6434033786
"Population, total",SP.POP.TOTL,Low income,LIC,647870823
"Population, total",SP.POP.TOTL,Lower middle income,LMC,3285416867
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,456709496
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,389457075
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,384771769
"Population, total",SP.POP.TOTL,Middle income,MIC,5786162963
"Population, total",SP.POP.TOTL,North America,NAC,365987250
"Population, total",SP.POP.TOTL,Not classified,INX,..
"Population, total",SP.POP.TOTL,OECD members,OED,1364841892
"Population, total",SP.POP.TOTL,Other small states,OSS,31361259
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,2491878
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,1112707633
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,944902748
"Population, total",SP.POP.TOTL,Small states,SST,41254526
"Population, total",SP.POP.TOTL,South Asia,SAS,1835776769
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1835776769
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,1106957870
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,1106860245
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,1106957870
"Population, total",SP.POP.TOTL,Upper middle income,UMC,2500746096
"Population, total",SP.POP.TOTL,World,WLD,7673345391
Population growth (annual %),SP.POP.GROW,Afghanistan,AFG,2.313073349
Population growth (annual %),SP.POP.GROW,Albania,ALB,-0.426007367
Population growth (annual %),SP.POP.GROW,Algeria,DZA,1.933983344
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,-0.269018786
Population growth (annual %),SP.POP.GROW,Andorra,AND,0.179041785
Population growth (annual %),SP.POP.GROW,Angola,AGO,3.242914028
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,0.861445784
Population growth (annual %),SP.POP.GROW,Argentina,ARG,0.993397493
Population growth (annual %),SP.POP.GROW,Armenia,ARM,0.202624028
Population growth (annual %),SP.POP.GROW,Aruba,ABW,0.437414676
Population growth (annual %),SP.POP.GROW,Australia,AUS,1.521653677
Population growth (annual %),SP.POP.GROW,Austria,AUT,0.444673639
Population growth (annual %),SP.POP.GROW,Azerbaijan,AZE,0.846646726
Population growth (annual %),SP.POP.GROW,"Bahamas, The",BHS,0.99365949
Population growth (annual %),SP.POP.GROW,Bahrain,BHR,4.468687834
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,1.029196649
Population growth (annual %),SP.POP.GROW,Barbados,BRB,0.132831082
Population growth (annual %),SP.POP.GROW,Belarus,BLR,-0.694662243
Population growth (annual %),SP.POP.GROW,Belgium,BEL,0.540461327
Population growth (annual %),SP.POP.GROW,Belize,BLZ,1.882598378
Population growth (annual %),SP.POP.GROW,Benin,BEN,2.71521855
Population growth (annual %),SP.POP.GROW,Bermuda,BMU,-0.009387321
Population growth (annual %),SP.POP.GROW,Bhutan,BTN,1.146379252
Population growth (annual %),SP.POP.GROW,Bolivia,BOL,1.399133355
Population growth (annual %),SP.POP.GROW,Bosnia and Herzegovina,BIH,-0.692266996
Population growth (annual %),SP.POP.GROW,Botswana,BWA,2.178168817
Population growth (annual %),SP.POP.GROW,Brazil,BRA,0.751550842
Population growth (annual %),SP.POP.GROW,British Virgin Islands,VGB,0.795618291
Population growth (annual %),SP.POP.GROW,Brunei Darussalam,BRN,1.005742274
Population growth (annual %),SP.POP.GROW,Bulgaria,BGR,-0.703905641
Population growth (annual %),SP.POP.GROW,Burkina Faso,BFA,2.844596498
Population growth (annual %),SP.POP.GROW,Burundi,BDI,3.128932148
Population growth (annual %),SP.POP.GROW,Cabo Verde,CPV,1.128657862
Population growth (annual %),SP.POP.GROW,Cambodia,KHM,1.446411842
Population growth (annual %),SP.POP.GROW,Cameroon,CMR,2.584178982
Population growth (annual %),SP.POP.GROW,Canada,CAN,1.4150147
Population growth (annual %),SP.POP.GROW,Cayman Islands,CYM,1.201997124
Population growth (annual %),SP.POP.GROW,Central African Republic,CAF,1.674661628
Population growth (annual %),SP.POP.GROW,Chad,TCD,2.986130147
Population growth (annual %),SP.POP.GROW,Channel Islands,CHI,1.031634777
Population growth (annual %),SP.POP.GROW,Chile,CHL,1.182932566
Population growth (annual %),SP.POP.GROW,China,CHN,0.357291063
Population growth (annual %),SP.POP.GROW,Colombia,COL,1.356788043
Population growth (annual %),SP.POP.GROW,Comoros,COM,2.206465058
Population growth (annual %),SP.POP.GROW,"Congo, Dem. Rep.",COD,3.187086265
Population growth (annual %),SP.POP.GROW,"Congo, Rep.",COG,2.562826461
Population growth (annual %),SP.POP.GROW,Costa Rica,CRI,0.957865009
Population growth (annual %),SP.POP.GROW,Cote d'Ivoire,CIV,2.549387092
Population growth (annual %),SP.POP.GROW,Croatia,HRV,-0.554146739
Population growth (annual %),SP.POP.GROW,Cuba,CUB,-0.041126289
Population growth (annual %),SP.POP.GROW,Curacao,CUW,-1.196439518
Population growth (annual %),SP.POP.GROW,Cyprus,CYP,0.779957016
Population growth (annual %),SP.POP.GROW,Czech Republic,CZE,0.393788864
Population growth (annual %),SP.POP.GROW,Denmark,DNK,0.358130916
Population growth (annual %),SP.POP.GROW,Djibouti,DJI,1.514559503
Population growth (annual %),SP.POP.GROW,Dominica,DMA,0.253775392
Population growth (annual %),SP.POP.GROW,Dominican Republic,DOM,1.046620579
Population growth (annual %),SP.POP.GROW,Ecuador,ECU,1.679172693
Population growth (annual %),SP.POP.GROW,"Egypt, Arab Rep.",EGY,1.976280224
Population growth (annual %),SP.POP.GROW,El Salvador,SLV,0.509699114
Population growth (annual %),SP.POP.GROW,Equatorial Guinea,GNQ,3.528840253
Population growth (annual %),SP.POP.GROW,Eritrea,ERI,..
Population growth (annual %),SP.POP.GROW,Estonia,EST,0.371554389
Population growth (annual %),SP.POP.GROW,Ethiopia,ETH,2.579697088
Population growth (annual %),SP.POP.GROW,Faroe Islands,FRO,0.370469891
Population growth (annual %),SP.POP.GROW,Fiji,FJI,0.729092657
Population growth (annual %),SP.POP.GROW,Finland,FIN,0.11019169
Population growth (annual %),SP.POP.GROW,France,FRA,0.218824149
Population growth (annual %),SP.POP.GROW,French Polynesia,PYF,0.578860345
Population growth (annual %),SP.POP.GROW,Gabon,GAB,2.484043179
Population growth (annual %),SP.POP.GROW,"Gambia, The",GMB,2.921862866
Population growth (annual %),SP.POP.GROW,Georgia,GEO,-0.17156574
Population growth (annual %),SP.POP.GROW,Germany,DEU,0.225519874
Population growth (annual %),SP.POP.GROW,Ghana,GHA,2.162584462
Population growth (annual %),SP.POP.GROW,Gibraltar,GIB,-0.026697913
Population growth (annual %),SP.POP.GROW,Greece,GRC,-0.105339393
Population growth (annual %),SP.POP.GROW,Greenland,GRL,0.359917714
Population growth (annual %),SP.POP.GROW,Grenada,GRD,0.494964112
Population growth (annual %),SP.POP.GROW,Guam,GUM,0.915743568
Population growth (annual %),SP.POP.GROW,Guatemala,GTM,1.560386048
Population growth (annual %),SP.POP.GROW,Guinea,GIN,2.834784817
Population growth (annual %),SP.POP.GROW,Guinea-Bissau,GNB,2.456528568
Population growth (annual %),SP.POP.GROW,Guyana,GUY,0.482526666
Population growth (annual %),SP.POP.GROW,Haiti,HTI,1.249854229
Population growth (annual %),SP.POP.GROW,Honduras,HND,1.640617842
Population growth (annual %),SP.POP.GROW,"Hong Kong SAR, China",HKG,0.75409492
Population growth (annual %),SP.POP.GROW,Hungary,HUN,-0.04525571
Population growth (annual %),SP.POP.GROW,Iceland,ISL,2.198932258
Population growth (annual %),SP.POP.GROW,India,IND,1.013261249
Population growth (annual %),SP.POP.GROW,Indonesia,IDN,1.097926437
Population growth (annual %),SP.POP.GROW,"Iran, Islamic Rep.",IRN,1.352289806
Population growth (annual %),SP.POP.GROW,Iraq,IRQ,2.254139075
Population growth (annual %),SP.POP.GROW,Ireland,IRL,1.367626954
Population growth (annual %),SP.POP.GROW,Isle of Man,IMN,0.611876546
Population growth (annual %),SP.POP.GROW,Israel,ISR,1.90898264
Population growth (annual %),SP.POP.GROW,Italy,ITA,-1.153028424
Population growth (annual %),SP.POP.GROW,Jamaica,JAM,0.456356507
Population growth (annual %),SP.POP.GROW,Japan,JPN,-0.208999473
Population growth (annual %),SP.POP.GROW,Jordan,JOR,1.35921633
Population growth (annual %),SP.POP.GROW,Kazakhstan,KAZ,1.28960849
Population growth (annual %),SP.POP.GROW,Kenya,KEN,2.272746379
Population growth (annual %),SP.POP.GROW,Kiribati,KIR,1.512986668
Population growth (annual %),SP.POP.GROW,"Korea, Dem. People's Rep.",PRK,0.455141902
Population growth (annual %),SP.POP.GROW,"Korea, Rep.",KOR,0.198353208
Population growth (annual %),SP.POP.GROW,Kosovo,XKX,-0.457730006
Population growth (annual %),SP.POP.GROW,Kuwait,KWT,1.672132226
Population growth (annual %),SP.POP.GROW,Kyrgyz Republic,KGZ,2.08787614
Population growth (annual %),SP.POP.GROW,Lao PDR,LAO,1.517256974
Population growth (annual %),SP.POP.GROW,Latvia,LVA,-0.69523914
Population growth (annual %),SP.POP.GROW,Lebanon,LBN,-0.053940482
Population growth (annual %),SP.POP.GROW,Lesotho,LSO,0.800269955
Population growth (annual %),SP.POP.GROW,Liberia,LBR,2.427215355
Population growth (annual %),SP.POP.GROW,Libya,LBY,1.469822354
Population growth (annual %),SP.POP.GROW,Liechtenstein,LIE,0.268640368
Population growth (annual %),SP.POP.GROW,Lithuania,LTU,-0.264704355
Population growth (annual %),SP.POP.GROW,Luxembourg,LUX,1.96284492
Population growth (annual %),SP.POP.GROW,"Macao SAR, China",MAC,1.385627937
Population growth (annual %),SP.POP.GROW,North Macedonia,MKD,0.024049453
Population growth (annual %),SP.POP.GROW,Madagascar,MDG,2.65644588
Population growth (annual %),SP.POP.GROW,Malawi,MWI,2.640937098
Population growth (annual %),SP.POP.GROW,Malaysia,MYS,1.328849015
Population growth (annual %),SP.POP.GROW,Maldives,MDV,2.91480812
Population growth (annual %),SP.POP.GROW,Mali,MLI,2.996255353
Population growth (annual %),SP.POP.GROW,Malta,MLT,3.931356319
Population growth (annual %),SP.POP.GROW,Marshall Islands,MHL,0.646743379
Population growth (annual %),SP.POP.GROW,Mauritania,MRT,2.741483436
Population growth (annual %),SP.POP.GROW,Mauritius,MUS,0.032240043
Population growth (annual %),SP.POP.GROW,Mexico,MEX,1.091366887
Population growth (annual %),SP.POP.GROW,"Micronesia, Fed. Sts.",FSM,1.034228542
Population growth (annual %),SP.POP.GROW,Moldova,MDA,-1.674182005
Population growth (annual %),SP.POP.GROW,Monaco,MCO,0.734075854
Population growth (annual %),SP.POP.GROW,Mongolia,MNG,1.718532829
Population growth (annual %),SP.POP.GROW,Montenegro,MNE,-0.031987013
Population growth (annual %),SP.POP.GROW,Morocco,MAR,1.221178705
Population growth (annual %),SP.POP.GROW,Mozambique,MOZ,2.907001146
Population growth (annual %),SP.POP.GROW,Myanmar,MMR,0.625695405
Population growth (annual %),SP.POP.GROW,Namibia,NAM,1.870402328
Population growth (annual %),SP.POP.GROW,Nauru,NRU,0.802168279
Population growth (annual %),SP.POP.GROW,Nepal,NPL,1.809442486
Population growth (annual %),SP.POP.GROW,Netherlands,NLD,0.655071575
Population growth (annual %),SP.POP.GROW,New Caledonia,NCL,0.239874642
Population growth (annual %),SP.POP.GROW,New Zealand,NZL,1.593167231
Population growth (annual %),SP.POP.GROW,Nicaragua,NIC,1.229759088
Population growth (annual %),SP.POP.GROW,Niger,NER,3.794206636
Population growth (annual %),SP.POP.GROW,Nigeria,NGA,2.564871955
Population growth (annual %),SP.POP.GROW,Northern Mariana Islands,MNP,0.567914446
Population growth (annual %),SP.POP.GROW,Norway,NOR,0.675061373
Population growth (annual %),SP.POP.GROW,Oman,OMN,2.96857894
Population growth (annual %),SP.POP.GROW,Pakistan,PAK,2.02296716
Population growth (annual %),SP.POP.GROW,Palau,PLW,0.501226267
Population growth (annual %),SP.POP.GROW,Panama,PAN,1.651930147
Population growth (annual %),SP.POP.GROW,Papua New Guinea,PNG,1.953700073
Population growth (annual %),SP.POP.GROW,Paraguay,PRY,1.265238609
Population growth (annual %),SP.POP.GROW,Peru,PER,1.616156746
