"","entity","total_confirmed_deaths_due_to_covid_19_per_million_people","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line","healthy_diet_cost_percent_of_1_20_poverty_line","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y"
"126","North Macedonia",260.889,0.741783281,3.019520007,3.690535055,61.97019895,252.2573105,308.3153764,9.705311515,39.50666324,48.28606045,2.337817,13.93327,18.23828,48673.25643,290090.1241,379720.2601,2715339,946988
"127","Norway",51.649,1.084304198,2.753281206,3.458190307,90.58514604,230.0151384,288.9047876,14.52968225,36.89398339,46.33976923,0.222648,0.3605376,0.4563593,11749.06371,19025.45378,24081.93423,5090023,98584
"128","Oman",235.576,0.763473885,2.370504554,2.974152331,NA,NA,NA,14.52968225,27.81615538,39.12812747,0.02480398,1.354531,3.021302,22808.93192,61.55602964,152289.503,4061216,138594
"129","Pakistan",30.599,0.767463234,1.94525909,3.827949612,64.11555841,162.5112022,319.7952892,20.90436108,52.9854677,104.2666766,0.04515375,24.10479,75.2726,93873.14985,50113059.58,156489240.9,120256626,69123887
"130","Palau",585.983,0.673078637,2.727949045,3.932199898,NA,NA,NA,9.986639878,36.89398339,36.2336679,0,0.5116307,4.655106,0,226831.787,1946142.462,21288,0
"131","Panama",614.17,1.127964567,3.223740157,4.876472158,94.23262882,269.3183089,407.3911578,13.78461908,39.39665427,59.59434641,1.85989,11.42699,19.78807,76381.42315,469280.3115,812650.7202,2976937,992312
"132","Papua New Guinea",0.782,1.020366482,4.057104501,3.357260846,NA,NA,NA,17.60403343,108.8895985,103.8783133,0.2792233,49.44025,66.43794,30042.19426,862595.9535,121767.6454,1496847,6422978
"133","Paraguay",186.049,0.949812696,3.886502873,3.603425935,79.34943156,324.6869568,301.0380898,16.1907157,66.25018108,61.42478945,0.1282366,17.94588,15.44793,8806.086829,1232354.706,1060818.931,5882259,756860
"134","Peru",1038.977,0.91506283,2.239451954,3.591001371,76.44635171,187.0887179,300.0001146,20.64388293,50.52219634,81.01324794,1.298749,10.30363,22.43048,408382.4928,3239904.019,7053106.75,23909023,7467648
"135","Philippines",64.363,1.157734234,2.819760223,4.07534677,96.71965196,235.5689409,340.4633893,17.63895856,42.96118423,62.09099695,3.313564,42.61489,64.24689,3484983.414,44819470.76,67570551.23,75168389,26547970
"136","Poland",121.94,0.397012866,1.961194354,3.097216182,33.16732385,163.842469,258.748219,5.196970716,25.67239122,40.5431238,0,0.02204507,0.449238,0,8371.576974,170597.3488,36922792,1063620
"137","Portugal",232.526,0.417757991,1.863018265,2.688893108,34.90041695,155.6406236,224.6360157,4.616332218,20.58682641,29.7129538,0.1087342,0.465337,0.9322764,11199.9488,47931.10701,96027.26603,10327002,31074
"138","Qatar",79.832,0.621210643,2.588742379,3.182589661,NA,NA,NA,17.60403343,43.60834845,63.33704097,1.066842,15.18224,22.43048,5350344.626,22351717.47,14320607.34,2431908,49631
"139","Romania",341.725,0.508367756,2.271961773,3.306929619,42.47015507,189.8046594,276.2681386,4.759807879,21.27220189,30.96252558,0.7519175,6.444023,11.02077,147281.7726,1262222.425,2158692.332,15674045,4141436
"140","Russia",182.198,0.621210643,2.270001586,3.398629889,51.89729684,189.6409011,283.9289799,6.770769513,24.7414588,37.04273244,0.001276778,0.4716394,2.541048,1844.902587,681503.5576,3671731.522,104037940,40058930
"141","Rwanda",2.702,0.762956708,1.310426108,3.607720503,63.73907337,109.4758653,301.3968674,52.86538101,90.79961513,249.9794771,23.69054,56.56786,91.14971,2838348.672,6777359.669,10920589.33,7163805,4465748
"142","Saint Kitts and Nevis",79.832,0.772870191,2.528955099,3.481056905,NA,NA,NA,7.706613058,31.57899822,46.0068031,0,2.216301,10.59034,0,37402.00932,280485.9153,43461,6322
"143","Saint Lucia",153.071,1.050054834,2.6511443,3.481056905,87.7238792,221.4823977,290.8151132,59.09355178,149.197478,195.902166,3.748323,12.98524,17.73234,6782.777885,23497.44104,32087.55585,160371,16835
"144","Saint Vincent and the Grenadines",63.422,0.560815752,2.450969495,3.440223518,NA,NA,NA,4.963690084,23.52311126,30.96252558,0.008474872,0,0.5476114,40454.83962,61.55602964,24081.93423,82985,26062
"145","Samoa",15.714,0.643520024,2.813919311,4.779471981,NA,NA,NA,30.32594162,52.4092351,95.87404169,0.7854215,10.29462,25.54418,6295.611819,469280.3115,24081.93423,177289,16470
"146","San Marino",1237.551,1.046140589,2.736463189,4.167510318,NA,NA,NA,16.00626804,59.15685746,68.31258044,0.8064244,7.921777,22.39919,0,35143.59981,1497018.936,46401249,220773
"147","Sao Tome and Principe",68.443,0.895221716,2.528955099,3.2009921,74.78878163,211.2744444,267.4178864,19.10498482,53.97059513,68.31258044,18.5827,71.84284,81.26451,38482.7276,148778.6189,168289.8611,67857,127696
"148","Saudi Arabia",153.071,1.180382518,3.407425561,3.638542468,NA,NA,NA,35.14447641,39.96757366,55.31587313,3.393462,10.93528,18.58065,28588.08372,205048.6993,24081.93423,31557144,0
"149","Senegal",19.231,0.744343569,1.857560211,3.178888156,62.18409098,155.1846459,265.5712745,23.01494333,57.43536287,98.29053922,8.035439,49.44025,77.24802,1239014.954,7623380.515,11911166.52,7129049,7847945
"150","Serbia",117.274,0.613036548,2.721453576,4.336531784,51.21441502,227.3561884,362.283357,9.152198781,40.62936245,64.74132912,2.950878,12.28619,23.87022,207176.9541,862595.9535,1675894.25,6839949,255434
"151","Seychelles",75.742,0.633518334,2.166685499,3.840847424,52.92550826,181.009649,320.8728006,12.75066837,43.60834845,77.30379553,0.06652946,1.354531,5.710876,63.76383035,1298.223146,5473.474885,91924,1495
"152","Sierra Leone",9.277,1.241975289,2.201196701,2.770219681,103.7573341,183.8927904,231.4302156,57.83079465,102.4955613,128.9912987,40.10301,76.5531,85.57656,3003086.233,5732626.072,6408341.648,962524,6274501
"153","Singapore",4.786,0.987348298,2.201196701,2.878004293,NA,NA,NA,8.387502822,31.01629693,35.31176681,8.464884,57.60084,90.62164,0,2022778.206,2859122.773,5535002,0
"154","Slovakia",32.237,0.387426943,2.110823834,3.333447784,32.36649482,176.3428433,278.4835241,5.577298781,30.38687786,47.98745827,0.5420523,1.311294,2.348883,29483.48216,71324.32286,127761.1958,5358715,65086
"155","Slovenia",92.355,0.440995618,2.047126761,3.041276348,36.84173919,171.0214503,254.0748829,6.205535896,28.80645084,42.79577567,0,0,0.01920434,0,0,396.8361772,2044959,18572
"156","Solomon Islands",169.068,0.648064841,2.901042564,4.024191138,NA,NA,NA,36.10796922,141.0582811,176.2589206,11.02579,54.69082,57.584,549299.6082,12622240.14,16776235.05,175070,412412
"157","Somalia",6.544,0.300922706,1.903125749,2.961332191,NA,NA,NA,5.577981123,25.62408513,29.7129538,0.996795,0.02752161,2.541048,107.174333,168569.868,44919.50634,2915110,9489615
"158","South Africa",321.251,1.264708811,3.407425561,4.276109309,105.6565422,284.6637896,357.2355313,29.2795996,78.8861873,98.99730862,18.0559,54.05105,61.10259,10291944.43,30809342.27,34828751.87,36527953,18484024
"159","South Korea",8.992,0.68144879,4.320287496,4.860810844,56.92972348,360.9262737,406.0827773,13.13085791,83.24775401,93.66311521,0,0.9978241,1.228063,0,512501.5262,630756.6251,51014947,0
"160","South Sudan",5.003,0.28486552,2.085576347,3.607580503,NA,NA,NA,25.67767887,159.820176,258.2134578,3.748323,6.585204,34.01277,0,1262222.425,2625339.275,796103,11086033
"161","Spain",754.96,0.442280512,1.770827881,2.715095317,36.94908205,147.9388371,226.8250056,6.080570696,24.34573494,37.32773335,0.5017389,0.9513059,1.480493,233776.3898,443244.2031,689809.5975,46401249,46448
"162","Sri Lanka",0.887,0.971934199,2.227864363,4.050519973,81.19751039,186.1206652,338.3893043,17.60403343,40.35190729,73.36452306,0.08013956,10.67173,45.437,17185.12725,2288445.781,9743510.28,19938666,1027334
"163","Sudan",19.088,1.078303515,2.088458248,4.232425264,90.08383584,174.4743733,353.5860705,24.17271361,46.81771173,94.87978326,5.536669,35.98657,81.57917,2259702.644,14687341.32,33295229.71,8906147,28831766
"164","Suriname",189.215,1.008157292,3.338161179,3.932199898,NA,NA,NA,25.8448894,58.83312227,62.90662372,0.4951231,6.163432,14.87213,265312.6509,6851501.138,10920589.33,438141,115067
"165","Sweden",585.983,0.822322346,2.502307275,2.889616398,68.69860871,209.0482268,241.4048787,11.10858749,33.80316664,39.03524782,0.1356052,0.3259973,0.3404294,13638.76149,32787.82392,34239.36096,9730592,68594
"166","Switzerland",222.887,0.422059823,2.123611479,2.45778473,35.25980145,177.4111511,205.3287159,5.577981123,28.06584301,32.48230717,0,0.02182594,0.02182594,0,1844.693527,1844.693527,8274114,8282
"167","Syria",15.714,3.034385921,2.883112817,4.582558116,NA,NA,NA,17.63895856,20.82701529,34.85732559,0.9991196,10.29462,25.54418,2305149.306,9006047.975,10895111.21,17929383,805604
"168","Tajikistan",8.493,0.911056262,2.344516378,3.217305785,76.11163426,195.8660299,268.7807673,36.19254302,93.13805678,127.810414,0.7854215,16.24259,34.01277,69747.53413,1442385.522,3020425.13,8121218,427433
"169","Tanzania",0.352,0.993807355,1.943333143,2.670800338,83.02484168,162.3503044,223.1245061,37.34486265,73.02573176,100.3621791,31.10177,71.84402,84.53875,17001442.32,39272747.56,46212182.83,8405273,45474684
"170","Thailand",0.845,1.046140589,2.883112817,5.012801356,87.39687457,240.8615553,418.7803973,17.28115243,47.62601951,82.80625501,0.002042557,2.216301,19.70135,1413.650799,1533898.775,13635276.36,63851568,4806032
"171","Timor",657.805,0.652093819,3.019520007,4.024191138,NA,NA,NA,8.819695812,37.67384477,59.59434641,0.04515375,3.222103,5.311003,48673.25643,1035.265736,13551.36755,503837,737140
"172","Togo",6.523,1.938657561,2.309871612,6.206968342,161.959696,192.9717303,518.5437211,143.9768989,171.5455881,460.9684924,66.35256,74.28932,97.28955,5108135.243,5719144.728,7489811.684,860349,6556453
"173","Tonga",204.571,0.971934199,3.338161179,2.913016384,NA,NA,NA,12.42962964,44.37649658,84.40615377,0,3.01498,25.60362,17333.63315,1253090.27,4276498.805,96791,9573
"174","Trinidad and Tobago",75.742,1.008387702,3.134152422,4.08868259,84.24291577,261.8339534,341.5774929,12.85923731,39.96757366,52.14000489,0.1681227,3.472017,7.340323,2326.939216,48055.21513,101595.3554,1244484,115608
"175","Tunisia",83.174,0.603618059,1.881483827,3.447835621,50.42757388,157.1832772,288.0397344,11.11575981,34.64794,63.49265403,0,1.57308,13.31939,0,179857.2051,1522864.864,10326673,946988
"176","Turkey",117.976,0.734378871,2.370504554,3.440223518,61.35161827,198.037139,287.4038026,9.986639878,32.23591562,46.78276397,0,2.007663,6.668437,0,1628252.678,5408228.574,74279627,3991845
"177","Turkmenistan",68.45,0.652794041,2.271961773,1.887692082,NA,NA,NA,10.43814427,31.13519677,38.30058588,0,0.4973831,0.3128131,0,1077746.223,198937.5499,3015936,1794169
"178","Tuvalu",186.049,1.008387702,2.50948,3.398629889,NA,NA,NA,11.81372843,33.85970377,51.96089413,0,3.255958,5.311003,0,3493716.304,3569171.488,9012,1807
"179","Uganda",2.252,0.648064841,1.799356803,3.000061375,54.14075527,150.3222058,250.6316938,42.58860861,118.2475855,197.1537903,7.880419,60.01055,81.69172,3243774.713,24701821.64,33626325.65,7667670,32477200
"180","Ukraine",150.685,1.084304198,2.753281206,5.497522295,NA,NA,NA,8.819695812,24.7414588,38.06758693,0.876297,7.921777,17.73234,66723.27378,0,34239.36096,43302714,1851315
"181","United Arab Emirates",48.734,1.127964567,4.057104501,3.357260846,NA,NA,NA,15.24125693,28.16316446,41.31834865,2.337817,10.93528,25.54418,22808.93192,102129.9662,396.8361772,8934599,219703
"182","United Kingdom",668.253,0.265348333,1.539730769,1.887692082,22.16778056,128.6324786,157.7019283,4.963690084,28.80269213,35.31176681,0.1003027,0.3433783,0.4246,66258.81917,226831.787,280485.9153,64607830,521031
"183","United States",684.958,0.9044263,2.21435,2.974152331,75.55775272,184.9916458,248.4671956,12.8980859,31.57899822,42.41459171,0.9991196,1.499683,1.499683,3246994.217,4873752.881,4873752.881,320896618,0
"184","Uruguay",15.545,0.694181218,2.128675062,2.961332191,57.99341841,177.834174,247.396173,9.391300947,28.79799626,40.06268259,0.02453968,0.3399476,1.307074,843.3419311,11682.7956,44919.50634,3308016,123536
"185","Uzbekistan",16.642,1.008387702,2.875454061,5.066444218,NA,NA,NA,9.50114393,31.57899822,46.78276397,0.1854279,2.453549,13.70442,3454.907152,681503.5576,1060818.931,31298900,0
"186","Vanuatu",237.838,0.741783281,2.599478188,3.721089004,NA,NA,NA,15.2863986,42.12384777,52.14000489,0.2439287,0.2406784,0.9322764,770.2878075,5438.176508,143221.1227,153205,111398
"187","Venezuela",27.43,0.677560681,2.243610657,3.719799844,NA,NA,NA,9.152198781,34.81939065,51.96089413,0,3.01498,25.60362,161.0750092,3239904.019,4601890.219,29410446,1744688
"188","Vietnam",0.36,0.974507314,2.513795511,4.306775634,81.41247403,210.0079792,359.7974631,28.58516223,73.73700685,126.3303809,0.4951231,10.18864,32.01523,468369.8264,9638111.305,30285332.51,71536374,20176926
"189","Yemen",20.117,0.560192577,2.124408033,3.459457249,NA,NA,NA,143.9768989,137.5544755,664.809753,0.7854215,10.18864,32.01523,179176.7521,138881.6296,143221.1227,13277013,11632956
"190","Zambia",18.93,1.278012074,2.379476799,3.306079267,106.767926,198.7867,276.1970983,75.42884391,140.4377844,195.1262762,57.78896,77.14788,84.97017,9739571.017,13002262.99,14320607.34,7068158,9032429
"191","Zimbabwe",16.282,0.774647423,2.29716701,3.967124844,64.71574124,191.9103601,331.4222928,34.26312295,101.6050831,175.4683258,8.090322,63.16433,82.59679,1151798.513,8992544.593,11759094.37,5806102,9971349
"192","Czech Republic",237.838,0.449308988,2.407971577,3.108033837,37.53625634,201.1672161,259.6519496,5.952627554,31.90178325,41.17649176,0,0.1187588,0.188587,0,12581.82744,19979.73279,10451144,94915
"193","Micronesia (country)",83.174,3.034385921,3.649771285,3.458190307,NA,NA,NA,35.14447641,43.74850452,73.58955935,0.07885481,0.05130247,5.710876,175625.8913,26778.18105,198937.5499,59631,44802
